DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,github_repo_id,open_source_license,Score_Jul-2026,Rank_Jul-2026
chaisql,chaisql,,X_Single,Y_auto,ChaiSQL,Document,Go,SQL,Embedded,Asdine El Hrychy,AE,2018,,"Hobby,Open Source",MIT License,chaisql/chai,138411034,Y,,
chaozzdb,chaozzdb,,X_Single,Y_auto,chaozzDB,,PHP,SQL,Embedded,Elmar Wenners,NL,2008,2019,"Hobby,Open Source",Creative Commons License,chaozznl/chaozzDB,,Y,,
chdb,chdb,chdb,Normal,Y_auto,chDB,Relational,C++,"Custom API,SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,Auxten Wang,SG,2023,,Open Source,Apache v2,chdb-io/chdb,606433492,Y,0.12,336
cheetah,cheetah,,X_Single,Y_auto,Cheetah,Relational,Visual Basic,Custom API,Embedded,PlanetSquires Software Limited,CA,2005,2012,Open Source,GPL v2,-,,Y,,
chroma,chroma,chroma,Normal,Y_auto,Chroma,Document#dbdbio>|<dbengines#Vector,Python,Custom API,"Shared-Everything,Embedded","Chroma, Inc.",US,2022,,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache-2.0 license,chroma-core/chroma,546206616,Y,3.03,90
chromem-go,chromem-go,,X_Single,Y_auto,chromem-go,Vector,Go,Custom API,Embedded,Philipp Gillé,DE,2023,,"Hobby,Open Source",AGPL v3,philippgille/chromem-go,735283134,Y,,
chromodb,chromodb,,X_Single,Y_auto,ChromoDB,Key-value,Go,Custom API,Shared-Everything,Alex Gaetano Padula,CA,2024,2024,"Hobby,Open Source",GPL v3,chromodb/chromodb,747399975,Y,,
chronicle-map,chronicle-map,,X_Single,Y_auto,Chronicle Map,Key-value,Java,,,"Chronicle Software, Inc.",GB,2014,,"Commercial,Open Source",LGPL v3,OpenHFT/Chronicle-Map,21985130,Y,,
chronix,chronix,,X_Single,Y_auto,Chronix,,Java,Custom API,,QAware GmbH,DE,2015,2019,"Commercial,Open Source",Apache v2,ChronixDB/chronix.server,,Y,,
citus,citus,citus,Normal,Y_auto,Citus,Relational,C,SQL,Shared-Nothing,"Citus Data, Inc.","TR,US",2010,2018,"Commercial,Open Source",AGPL v3; commercial license also available,citusdata/citus,50874442,Y,2.12,117
clickhouse,clickhouse,clickhouse,Normal,Y_auto,ClickHouse,Relational,C++,"Custom API,SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,Yandex#dbdbio>|<dbengines#Clickhouse Inc.,RU,2016,2025,"Commercial,Open Source",Apache v2.0,ClickHouse/ClickHouse,60246359,Y,25.27,26
closevector,closevector,,X_Single,Y_auto,CloseVector,"Document,Vector",,HTTP / REST,Embedded,MegaPortal,CN,2023,,"Commercial,Open Source",Apache v2,-,,Y,,
cloudberry,cloudberry,,X_Single,Y_auto,Cloudberry,Relational,C,SQL,Shared-Nothing,HashData Technology Limited,CN,2023,,"Commercial,Open Source",Apache v2,apache/cloudberry,644742603,Y,,
cloudkit,cloudkit,cloudkit,Normal,Y_auto,CloudKit,Document,,,,,US,2008#dbdbio>|<dbengines#2016,2011,Open Source,MIT License,jcrosby/cloudkit,4859,Y,2.02,123
cloverdb,cloverdb,,X_Single,Y_auto,CloverDB,Document,Go,Custom API,Shared-Everything,Stefano Scafiti,IT,2022,,"Hobby,Open Source",MIT License,ostafen/clover,453191009,Y,,
cnosdb,cnosdb,cnosdb,Normal,Y_auto,CnosDB,Relational#dbdbio>|<dbengines#Time Series,Rust,SQL,Shared-Disk,CnosDB,CN,2021#dbdbio>|<dbengines#2022,2023,"Commercial,Open Source",AGPL v3.0,cnosdb/cnosdb,420965027,Y,0.33,275
cockroachdb,cockroachdb,cockroachdb,Normal,Y_auto,CockroachDB,Relational,Go,SQL,Shared-Nothing,Cockroach Labs,US,2014#dbdbio>|<dbengines#2015,2026,"Commercial,Open Source","Business Source License#dbdbio>|<dbengines#Apache 2.0, commercial license available",cockroachdb/cockroach,16563587,Y,4.62,69
codernitydb,codernitydb,,X_Single,Y_auto,CodernityDB,Key-value,Python,HTTP / REST,Shared-Everything,Codernity.com,PL,2011,,Open Source,Apache v2,perchouli/codernitydb,6714651,Y,,
cogadb,cogadb,,X_Single,Y_auto,CoGaDB,Relational,C++,SQL,Shared-Everything,Technical University of Berlin,DE,2012,2020,"Academic,Open Source",GPL v3,-,,Y,,
cogdb,cogdb,,X_Single,Y_auto,CogDB,RDF,Python,Custom API,Embedded,Arun Mahendra,CA,2017,,"Hobby,Open Source",MIT License,arun1729/cog,111333972,Y,,
coherence,coherence,oracle-coherence,RepoExactManual:Normal,Y_auto,Coherence,Object Oriented,Java,"Custom API,HTTP / REST",Shared-Nothing,Oracle,US,2000,2023,"Commercial,Open Source",Universal Permissive License,oracle/coherence,242776849,Y,1.6,144
column,column,,X_Single,Y_auto,Column,Relational,Go,Custom API,Embedded,Roman Atachiants,AE,2021,2025,"Hobby,Open Source",MIT License,kelindar/column,371172777,Y,,
comdb2,comdb2,comdb2,Normal,Y_auto,Comdb2,Relational,C,SQL,,Bloomberg#dbdbio>|<dbengines#Bloomberg Finance L.P.,US,2004,,Open Source,Apache v2.0,bloomberg/comdb2,91593042,Y,0.35,272
compass,compass,,X_Single,Y_auto,Compass,"Document,Object Oriented",Java,Custom API,Shared-Everything,Shay Banon,GB,2006,2009,Open Source,Apache v2,kimchy/compass,1776883,Y,,
composedb,composedb,,X_Single,Y_auto,ComposeDB,Graph,TypeScript,GraphQL,,3Box Labs,IE,2022,2024,Open Source,"Apache v2,MIT License",ceramicstudio/js-composedb,511030127,Y,,
computedb,computedb,tibco-computedb,Fuzzy:Normal,Y,ComputeDB,Relational,Java,SQL,,TIBCO Software Inc.,US,2015,2022,"Commercial,Open Source",Apache v2.0,TIBCOSoftware/snappydata,42580991,Y,0.15,325
conceptbasecc,conceptbasecc,,X_Single,Y_auto,ConceptBase.cc,Object Oriented,,Datalog,,"University of Skövde, University of Aachen","DE,SE",1995,,"Academic,Open Source",BSD License,-,,Y,,
concourse,concourse,,X_Single,Y_auto,Concourse,Document,Java,Custom API,,Cinchapi,US,2012,,"Commercial,Open Source",Apache v2,cinchapi/concourse,13353426,Y,,
condensation,condensation,,X_Single,Y_auto,Condensation,Object Oriented,Java,Custom API,,,CH,2020,2022,Open Source,Apache v2,CondensationDB/Condensation-java,329729926,Y,,
consus,consus,,X_Single,Y_auto,Consus,Key-value,C++,Custom API,Shared-Nothing,Cornell University,US,2015,2018,"Academic,Open Source",BSD License,rescrv/Consus,76373812,Y,,
consus-java,consus-java,,X_Single,Y_auto,Consus,Relational,Java,,Embedded,Konstantin Knizhnik,RU,2004,,Open Source,BSD License,-,,Y,,
coral,coral,,X_Single,Y_auto,CORAL,,C++,,,University of Wisconsin,US,1988,1997,"Academic,Open Source",,-,,Y,,
coreobject,coreobject,,X_Single,Y_auto,CoreObject,Object Oriented,Objective-C,Custom API,,Étoilé Project,FR,2007,2024,"Academic,Open Source",MIT License,etoile/CoreObject,15001136,Y,,
couchbase,couchbase,couchbase,Normal,Y_auto,Couchbase,"Document,Key-value","C,C++,Erlang,Go",Custom API,Shared-Nothing,"Couchbase, Inc.",US,2010#dbdbio>|<dbengines#2011,2024,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Business Source License (BSL 1.1); Commercial licenses also available,couchbase/couchbase-lite-core,66783145,Y,9.23,44
couchdb,couchdb,couchdb,Normal,Y_auto,CouchDB,Document,Erlang,HTTP / REST,Shared-Nothing,Damien Katz#dbdbio>|<dbengines#Apache Software Foundation,US,2005,2023,Open Source,Apache v2,apache/couchdb,206417,Y,6.01,62
covenantsql,covenantsql,covenantsql,Normal,Y_auto,CovenantSQL,Relational,Go,"Custom API,SQL",Shared-Nothing,Covenant Labs,CN,2018,2021,"Commercial,Open Source",Apache v2,CovenantSQL/CovenantSQL,129072319,Y,0.0,387
cozodb,cozodb,,X_Single,Y_auto,CozoDB,Relational,Rust,Datalog,Embedded,Ziyang Hu,GB,2022,2024,"Hobby,Open Source",Mozilla Public License,cozodb/cozo,551374215,Y,,
cql,cql,,X_Single,Y_auto,CQL++,Relational,C++,,"Shared-Everything,Embedded",Machine Independent Software,US,1994,2011,"Commercial,Open Source","GPL v2,Proprietary",-,,Y,,
cqlite,cqlite,,X_Single,Y_auto,CQLite,Graph,Rust,Cypher,Embedded,Tilman Roeder,GB,2021,2023,"Hobby,Open Source",MIT License,dyedgreen/cqlite,402209532,Y,,
cratedb,cratedb,cratedb,Normal,Y_auto,CrateDB,Document,Java,"SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,Crate GmbH,AT,2014#dbdbio>|<dbengines#2013,2024,"Commercial,Open Source",Apache v2,crate/crate,9342529,Y,0.57,232
cruzdb,cruzdb,,X_Single,Y_auto,CruzDB,,C++,,,,US,2016,,"Hobby,Open Source",,cruzdb/cruzdb,,Y,,
csql,csql,,X_Single,Y_auto,CSQL,Relational,,,,LAKSHYA Solutions,IN,2005,2008,"Commercial,Open Source",GPL v2,wundrian/csql,3900741,Y,,
cubicweb,cubicweb,cubicweb,Normal,Y_auto,CubicWeb,Graph#dbdbio>|<dbengines#RDF,Python,Custom API,,Logilab SAS,FR,2000#dbdbio>|<dbengines#2001,2021,Open Source,LGPL v2,gurneyalex/cubicweb,207484782,Y,0.07,353
cubrid,cubrid,cubrid,Normal,Y_auto,Cubrid,Relational,C,"Custom API,SQL,Stored Procedures,Command-line / Shell",Shared-Nothing,Naver,KR,2008,2025,Open Source,"BSD License,GPL v2",CUBRID/cubrid,52080367,Y,0.81,204
curiodb,curiodb,,X_Single,Y_auto,CurioDB,Key-value,Scala,Custom API,Shared-Nothing,Stephen McDonald,AU,2015,2018,Open Source,BSD License,stephenmcd/curiodb,34593732,Y,,
cursusdb,cursusdb,,X_Single,Y_auto,CursusDB,Document,Go,SQL,Shared-Everything,Alex Gaetano Padula,CA,2023,2024,"Hobby,Open Source",GPL v3,cursusdb/cursusdb,722117815,Y,,
daffodil-db,daffodil-db,,X_Single,Y_auto,Daffodil DB,Relational,Java,SQL,"Shared-Everything,Embedded",Daffodil Software,IN,2003,2012,"Commercial,Open Source",GPL v2,,,Y,,
dalmatinerdb,dalmatinerdb,,X_Single,Y_auto,DalmatinerDB,,Erlang,,,Project FiFo,DE,2014,2019,Open Source,MIT License,dalmatinerdb/dalmatinerdb,,Y,,
dare-db,dare-db,,X_Single,Y_auto,Dare-DB,Key-value,Go,HTTP / REST,Shared-Everything,Davide Marro,IT,2024,,"Hobby,Open Source",MIT License,dmarro89/dare-db,789424265,Y,,
databend,databend,databend,Normal,Y_auto,Databend,Relational,Rust,SQL,Shared-Disk,Databend Labs,CN,2020,2026,"Commercial,Open Source",Apache v2.0,databendlabs/databend,302827809,Y,0.31,280
datafusion,datafusion,,X_Single,Y_auto,DataFusion,Relational,Rust,SQL,Shared-Everything,,US,2016,,Open Source,Apache v2,apache/arrow-datafusion,358917318,Y,,
datahike,datahike,,X_Single,Y_auto,Datahike,Key-value,Clojure,Datalog,Same as DataScript,lambdaforge UG,DE,2018,,Open Source,Eclipse Public License,replikativ/datahike,116407410,Y,,
datalevin,datalevin,,X_Single,Y_auto,Datalevin,Document,Clojure,Datalog,Shared-Everything,Huahai Yang,US,2020,,"Hobby,Open Source",Eclipse Public License,datalevin/datalevin,270858421,Y,,
datascript,datascript,,X_Single,Y_auto,DataScript,Key-value,Clojure,Datalog,,Nikita Prokopov,RU,2014,,Open Source,Eclipse Public License,tonsky/datascript,18800032,Y,,
db4o,db4o,db4o,Normal,Y_auto,db4o,Object Oriented,,,Embedded,db4objects Inc.,US,2000#dbdbio>|<dbengines#2001,2014,"Commercial,Open Source","GPL v2,Proprietary#dbdbio>|<dbengines#commercial license available for existing customers only",iboxdb/db4o-gpl,204261394,Y,1.15,176
db5,db5,,X_Single,Y_auto,DB5,"Document,Vector",TypeScript,Custom API,Embedded,Vector5,PL,2023,2023,Open Source,MIT License,vector5ai/vector5db,634656527,Y,,
dbeel,dbeel,,X_Single,Y_auto,dbeel,Document,Rust,Custom API,Shared-Everything,Tony Solomonik,IL,2023,2023,"Hobby,Open Source",Apache v2,tontinton/dbeel,597066476,Y,,
dbreeze,dbreeze,,X_Single,Y_auto,DBreeze,"Key-value,Document",C#,Custom API,,Alexey Solovyov,DE,2012,,Open Source,BSD License,hhblaze/DBreeze,12050336,Y,,
dbx1000,dbx1000,,X_Single,Y_auto,DBx1000,Relational,"Assembly,C++",,Shared-Everything,"Massachusetts Institute of Technology, Carnegie Mellon University",US,2014,2020,"Academic,Open Source",ISC License,yxymit/DBx1000,23452009,Y,,
deepdb,deepdb,,X_Single,Y_auto,DeepDB,Relational,C++,SQL,Shared-Everything,Deep Information Sciences,US,2010,2017,"Commercial,Open Source","AGPL v3,Proprietary",DeepFound/deep_engine,93621710,Y,,
defradb,defradb,,X_Single,Y_auto,DefraDB,Document,Go,GraphQL,Shared-Nothing,"Source, Inc.",CA,2019,,"Commercial,Open Source",Business Source License,sourcenetwork/defradb,192631273,Y,,
degdb,degdb,,X_Single,Y_auto,DegDB,Graph,Go,,,Tristan Rice,CA,2015,2016,Open Source,MIT License,degdb/degdb,41946572,Y,,
delta-lake,delta-lake,,X_Single,Y_auto,Delta Lake,Wide column,Scala,,Shared-Disk,"Databricks, Inc.",US,2019,,"Commercial,Open Source",Apache v2,delta-io/delta,182849188,Y,,
densodb,densodb,,X_Single,Y_auto,DensoDB,Document,C#,,,Paolo Possanzini,IT,2012,2013,Open Source,,teamdev/densodb,3920536,Y,,
derby,derby,apache-derby,WebsiteExact:Normal,Y_auto,Apache Derby,Relational,Java,SQL,Embedded,Cloudscape Inc.#dbdbio>|<dbengines#Apache Software Foundation,US,1997,2025,Open Source,Apache v2,apache/derby,1918497,Y,3.03,91
deveeldb,deveeldb,,X_Single,Y_auto,DeveelDB,Relational,,SQL,Embedded,Deveel,NO,2009,2022,Open Source,Apache v2,deveel/deveeldb,2894420,Y,,
dgraph,dgraph,dgraph,Normal,Y_auto,Dgraph,Graph,Go,GraphQL,Shared-Nothing,"Dgraph Labs, Inc.",US,2015#dbdbio>|<dbengines#2016,,"Commercial,Open Source",Apache v2.0,dgraph-io/dgraph,41349039,Y,1.25,167
dicedb,dicedb,,X_Single,Y_auto,DiceDB,Key-value,,"Custom API,HTTP / REST",Shared-Everything,Arpit Bhayani,IN,2022,,"Hobby,Open Source",Business Source License,dicedb/dicedb,531220682,Y,,
discodb,discodb,,X_Single,Y_auto,discodb,Relational,Go,SQL,,,IN,2026,,"Hobby,Open Source",GPL v3,lasect/discodb,1193777419,Y,,
documentdb-msft,documentdb-msft,,X_Single,Y_auto,DocumentDB,Document,C,Custom API,Shared-Everything,,US,2023,,"Commercial,Open Source",MIT License,documentdb/documentdb,920805662,Y,,
dolt,dolt,dolt,Normal,Y_auto,Dolt,Relational,Go,"Custom API,SQL,Command-line / Shell","Shared-Everything,Embedded",DoltHub Inc.,US,2018,,Open Source,Apache v2.0,dolthub/dolt,198683574,Y,0.99,192
doris,doris,apache-doris,RepoExactManual:Normal,Y_auto,Apache Doris,Relational,C++,SQL,,"Baidu, Inc.",CN,2017,2026,Open Source,Apache v2.0,apache/doris,99919302,Y,0.36,268
doxa,doxa,,X_Single,Y_auto,Doxa,Document,Clojure,Custom API,Embedded,Rafal Krzywaznia,PL,2021,2023,"Hobby,Open Source",Public Domain,ribelo/doxa,336867666,Y,,
dqlite,dqlite,,X_Single,Y_auto,Dqlite,Relational,C,SQL,Shared-Nothing,Canonical,IT,2017,,Open Source,Apache v2,canonical/dqlite,92329433,Y,,
dragonfly,dragonfly,dragonfly,Normal,Y_auto,Dragonfly,Key-value,C++,Custom API,Shared-Everything,Attos Technologies,IL,2021#dbdbio>|<dbengines#2023,2023,"Commercial,Open Source",Business Source License#dbdbio>|<dbengines#BSL 1.1,dragonflydb/dragonfly,437245741,Y,0.55,237
dremio,dremio,,X_Single,Y_auto,Dremio,Relational,Java,SQL,Shared-Disk,Dremio,US,2015,,"Commercial,Open Source",Apache v2,dremio/dremio-oss,97518356,Y,,
driftdb,driftdb,,X_Single,Y_auto,DriftDB,Relational,Rust,SQL,Shared-Everything,David Liedle,US,2025,,"Hobby,Open Source",MIT License,DavidLiedle/DriftDB,1056702615,Y,,
drill,drill,apache-drill,RepoExactManual:Normal,Y_auto,Apache Drill,Wide column#dbdbio>|<dbengines#Document,Java,"SQL,HTTP / REST",Shared-Nothing,Apache Software Foundation,US,2012,2023,Open Source,Apache v2,apache/drill,5683653,Y,1.72,139
drizzle,drizzle,,X_Single,Y_auto,Drizzle,Relational,C++,SQL,,,US,2008,2012,Open Source,"BSD License,GPL v2,GPL v3",stewartsmith/drizzle,11734713,Y,,
druid,druid,apache-druid,RepoExactManual:Normal,Y_auto,Apache Druid,Wide column#dbdbio>|<dbengines#Relational,Java,"Custom API,SQL,HTTP / REST",Shared-Nothing,Metamarkets#dbdbio>|<dbengines#Apache Software Foundation and contributors,US,2011#dbdbio>|<dbengines#2012,2025,Open Source,Apache v2,apache/druid,6358188,Y,3.77,76
duckdb,duckdb,duckdb,Normal,Y_auto,DuckDB,Relational,C++,Custom API,Embedded,"CWI, DuckDB Labs",NL,2018,2024,"Academic,Open Source",MIT License,duckdb/duckdb,138754790,Y,10.41,42
ductiledb,ductiledb,,X_Single,Y_auto,DuctileDB,Graph,Java,Gremlin,Shared-Disk,"PureSol Technologies, Inc.",DE,2015,2018,Open Source,Apache v2,PureSolTechnologies/DuctileDB,45098765,Y,,
dybase,dybase,,X_Single,Y_auto,DyBASE,Object Oriented,C++,,Embedded,Konstantin Knizhnik,RU,,,Open Source,,-,,Y,,
dynomitedb,dynomitedb,,X_Single,Y_auto,DynomiteDB,Key-value,C,Custom API,Shared-Nothing,"Netflix, Inc.",US,2012,2022,Open Source,Apache v2,Netflix/dynomite,13484625,Y,,
earthstar,earthstar,,X_Single,Y_auto,Earthstar,Document,TypeScript,Custom API,Embedded,Earthstar Project,US,2020,2024,"Academic,Open Source",LGPL v3,earthstar-project/earthstar,266444815,Y,,
easedb,easedb,,X_Single,Y_auto,EaseDB,Document,Ruby,HTTP / REST,,Alexander Shakhmatov,RU,2013,2014,Open Source,MIT License,X2rdas/easedb,8428443,Y,,
echodb,echodb,,X_Single,Y_auto,EchoDB,Key-value,Rust,Custom API,Embedded,SurrealDB Ltd.,GB,2021,2025,Open Source,Apache v2,surrealdb/echodb,421444565,Y,,
edgelessdb,edgelessdb,edgelessdb,Normal,Y_auto,EdgelessDB,Relational,,SQL,Shared-Everything,Edgeless Systems,DE,2021,2023,"Commercial,Open Source",GPL v2,edgelesssys/edgelessdb,341208515,Y,0.0,387
edis,edis,,X_Single,Y_auto,Edis,Key-value,Erlang,,,Chad DePue,US,2010,2015,"Hobby,Open Source",,cbd/edis,1196286,Y,,
effiproz,effiproz,,X_Single,Y_auto,EffiProz,Relational,C#,SQL,Embedded,EffiProz,US,,2012,"Commercial,Open Source",,-,,Y,,
ehcache,ehcache,ehcache,Normal,Y_auto,Ehcache,Key-value,Java,Custom API,,"Greg Luck#dbdbio>|<dbengines#Terracotta Inc, owned by Software AG",US,2003#dbdbio>|<dbengines#2009,2022,Open Source,Apache v2; commercial licenses available,ehcache/ehcache3,17224514,Y,2.82,94
einsteindb,einsteindb,,X_Single,Y_auto,EinsteinDB,Key-value,Rust,,,Whtcorps,US,2019,2022,Open Source,,YosiSF/EinsteinDB,180245584,Y,,
ejdb,ejdb,ejdb,Normal,Y_auto,EJDB,"Document,Key-value",C,"Custom API,HTTP / REST",Embedded,Softmotions,RU,2012,,Open Source,MIT License,Softmotions/ejdb,6427744,Y,0.06,354
elara-db,elara-db,,X_Single,Y_auto,Elara DB,Key-value,Python,Custom API,Embedded,Saurabh Pujari,IN,2021,2023,"Hobby,Open Source",BSD License,saurabh0719/elara,354659748,Y,,
elasql,elasql,,X_Single,Y_auto,ElaSQL,Relational,Java,SQL,,National Tsing Hua University,TW,2016,2022,"Academic,Open Source",Apache v2,elasql/elasql,61373806,Y,,
elasticsearch,elasticsearch,elasticsearch,Normal,Y_auto,Elasticsearch,Document#dbdbio>|<dbengines#Search Engine,Java,"Custom API,PromQL",Shared-Nothing,Elastic N.V.,US,2004#dbdbio>|<dbengines#2010,2023,Open Source,Apache v2#dbdbio>|<dbengines#Elastic License,elastic/elasticsearch,507775,Y,94.32,12
elephantdb,elephantdb,,X_Single,Y_auto,ElephantDB,Key-value,Clojure,,,Nathan Marz,US,2011,2014,Open Source,BSD License,nathanmarz/elephantdb,1372117,Y,,
elevator,elevator,,X_Single,Y_auto,Elevator,Key-value,,"Custom API,Command-line / Shell",,Théo Crevon,DE,2012,2014,Open Source,MIT License,oleiade/Elevator,4211523,Y,,
eliasdb,eliasdb,,X_Single,Y_auto,EliasDB,Graph,Go,,,Matthias Ladkau,GB,2016,2022,Open Source,Mozilla Public License,krotik/eliasdb,65619619,Y,,
elliptics,elliptics,elliptics,Normal,Y_auto,Elliptics,Key-value,"C++,Python","Custom API,Command-line / Shell",Shared-Disk,Reverbrain,RU,2009,2019,"Commercial,Open Source",LGPL v3,reverbrain/elliptics,4712089,Y,0.06,355
embeddb,embeddb,,X_Single,Y_auto,EmbedDB,Relational,C++,"Custom API,SQL",Embedded,University of British Columbia - Okanagan,CA,2023,,"Academic,Open Source",BSD License,ubco-db/EmbedDB,646912783,Y,,
endatabas,endatabas,,X_Single,Y_auto,Endatabas,"Relational,Document","Lisp,Rust","SQL,HTTP / REST",,Håkan Råberg,SE,2023,2024,"Commercial,Open Source",AGPL v3,endatabas/endb,587246478,Y,,
endee,endee,,X_Single,Y_auto,Endee,Vector,C#,Custom API,,Endee Labs,IN,2026,,"Commercial,Open Source",AGPL v3,endee-io/endee,1141278752,Y,,
engram,engram,,X_Single,Y_auto,Engram,Graph,Python,"Custom API,HTTP / REST",,Softmax Data Inc.,CA,2026,,"Commercial,Open Source",MIT License,softmaxdata/engram,1169046116,Y,,
engula,engula,,X_Single,Y_auto,Engula,Key-value,Rust,Custom API,Shared-Nothing,Huachao Huang,CN,2022,,"Hobby,Open Source",Apache v2,engula/engula,393005910,Y,,
ennodb,ennodb,,X_Single,Y_auto,EnnoDB,Key-value,C,HTTP / REST,,Enno Rehling,NO,2012,2016,"Hobby,Open Source",ISC License,ennorehling/ennodb,6768410,Y,,
epsilla,epsilla,,X_Single,Y_auto,Epsilla,Array,C++,Custom API,Shared-Everything,"Epsilla, Inc.",US,2023,,"Commercial,Open Source",GPL v3,epsilla-cloud/vectordb,664133375,Y,,
etcd,etcd,etcd,Normal,Y_auto,etcd,Key-value,Go,RPC,Shared-Nothing,CoreOS,US,2013,2019,Open Source,Apache v2.0,etcd-io/etcd,11225014,Y,7.29,52
euclidesdb,euclidesdb,,X_Single,Y_auto,EuclidesDB,Array,C++,"Custom API,HTTP / REST",Shared-Everything,Christian S. Perone,PT,2018,2019,Open Source,Apache v2,perone/euclidesdb,156942199,Y,,
euclidolap,euclidolap,,X_Single,Y_auto,EuclidOLAP,Array,C,Custom API,,Chen Zhigang,CN,2022,,"Hobby,Open Source",Apache v2,EuclidOLAP/EuclidOLAP,534109388,Y,,
eva-db,eva-db,,X_Single,Y_auto,EVA DB,Relational,Python,SQL,Shared-Everything,Georgia Institute of Technology,US,2018,2023,"Academic,Open Source",Apache v2,georgia-tech-db/evadb,148087762,Y,,
evcache,evcache,,X_Single,Y_auto,EVCache,Key-value,,,Shared-Nothing,"Netflix, Inc.",US,2012,,Open Source,Apache v2,Netflix/EVCache,8103021,Y,,
eventql,eventql,,X_Single,Y_auto,EventQL,Relational,C++,SQL,Shared-Nothing,DeepCortex,"DE,NL",2014,2017,"Commercial,Open Source",AGPL v3,eventql/eventql,59475316,Y,,
evitadb,evitadb,,X_Single,Y_auto,evitaDB,Document,Java,"Custom API,GraphQL,HTTP / REST,RPC","Shared-Everything,Embedded","FG Forrest, a.s.",CZ,2020,,"Commercial,Open Source",Business Source License,FgForrest/evitaDB,605189726,Y,,
evolvsql,evolvsql,,X_Single,Y_auto,EvolvSQL,Relational,Rust,SQL,,,IN,2026,,"Hobby,Open Source",Business Source License,JagritGumber/evolvsql,1188294539,Y,,
exist-db,exist-db,exist-db,Normal,Y_auto,eXist-db,Document#dbdbio>|<dbengines#Native XML,Java,XQuery,,eXist Solutions,DE,2000,,"Commercial,Open Source",LGPL v2,eXist-db/exist,11695619,Y,0.61,227
extenddb,extenddb,,X_Single,Y_auto,ExtendDB,"Key-value,Document",Rust,"Custom API,SQL,Command-line / Shell,PartiQL",,"Amazon.com, Inc.",US,2026,,Open Source,Apache v2,ExtendDB/extenddb,1234582852,Y,,
extensible-storage-engine,extensible-storage-engine,,X_Single,Y_auto,Extensible Storage Engine,Key-value,C++,Custom API,Embedded,Microsoft Corporation,US,1994,,"Commercial,Open Source",MIT License,microsoft/Extensible-Storage-Engine,331747853,Y,,
eyedb,eyedb,,X_Single,Y_auto,EyeDB,Object Oriented,C++,Custom API,,Genethon Laboratories,FR,1992,2014,"Academic,Open Source",LGPL v2,eyedb/eyedb,145843258,Y,,
eyros,eyros,,X_Single,Y_auto,eyros,Array,Rust,Custom API,Embedded,bits.coop,US,2018,2022,Open Source,Parity Public License,peermaps/eyros,162765004,Y,,
falcon,falcon,,X_Single,Y_auto,Falcon,,,,,Sun Microsystems,US,2006,2010,"Commercial,Open Source",,-,,Y,,
falkordb,falkordb,,X_Single,Y_auto,FalkorDB,Graph,C,Custom API,Shared-Everything,FalkorDB,IL,2023,,"Commercial,Open Source",Server Side Public License,falkordb/falkordb,668673665,Y,,
fallen-8,fallen-8,,X_Single,Y_auto,Fallen-8,Graph,C#,HTTP / REST,,Henning Rauch,DE,2011,2019,"Hobby,Open Source",MIT License,cosh/fallen-8,2672286,Y,,
fastdb,fastdb,,X_Single,Y_auto,FastDB,Relational,C++,"Custom API,SQL",Shared-Everything,Konstantin Knizhnik,RU,2011,,Open Source,Apache v2,gavioto/fastdb,29210020,Y,,
faster,faster,,X_Single,Y_auto,FASTER,Key-value,"C#,C++",Custom API,Embedded,Microsoft Corporation,US,2018,,"Commercial,Open Source",MIT License,microsoft/FASTER,143253020,Y,,
featurebase,featurebase,featurebase,Normal,Y_auto,FeatureBase,Relational,Go,"Custom API,SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,Molecula#dbdbio>|<dbengines#Molecula and Pilosa Open Source Contributors,US,2017,2024,Open Source,Apache v2,featurebasedb/featurebase,40127179,Y,0.26,293
featureform,featureform,,X_Single,Y_auto,FeatureForm,Vector,Go,Custom API,Shared-Everything,"Featureform, Inc.",US,2020,2025,"Commercial,Open Source",Mozilla Public License,featureform/featureform,304530333,Y,,
ferresdb,ferresdb,,X_Single,Y_auto,FerresDB,Vector,Rust,HTTP / REST,,Rafael Ferrés,BR,2026,,"Hobby,Open Source","Apache v2,MIT License",ferres-db/ferres-db,1150783842,Y,,
ferretdb,ferretdb,,X_Single,Y_auto,FerretDB,Document,Go,Custom API,Shared-Everything,FerretDB,US,2021,,Open Source,,FerretDB/FerretDB,422821402,Y,,
ferrite,ferrite,,X_Single,Y_auto,Ferrite,Relational,Rust,SQL,Embedded,Thomas Korrison,GB,2024,,"Hobby,Open Source","Apache v2,MIT License",OxidizeLabs/ferrite,828849220,Y,,
filedb,filedb,,X_Single,Y_auto,FileDB,Key-value,C#,Custom API,Embedded,Mauricio David,BR,2010,2015,"Hobby,Open Source",MIT License,mbdavid/FileDB,30123805,Y,,
